State,Industry,Employment,Median Hourly Wage ($),Mean Hourly Wage ($),Annual Mean Wage ($)
Oregon,CS,62170,46.65,48.22,100300.00
Pennsylvania,Management,364480,51.50,60.80,126450.00
Pennsylvania,Business,341820,34.63,38.60,80280.00
Pennsylvania,CS,173700,41.43,45.55,94730.00
Puerto Rico,Management,40290,32.49,40.33,83890.00
Puerto Rico,Business,50400,18.30,21.14,43960.00
Puerto Rico,CS,11970,22.57,24.85,51700.00
Rhode Island,Management,21670,61.15,68.37,142210.00
Rhode Island,Business,37440,38.57,42.56,88530.00
Rhode Island,CS,16210,48.77,53.08,110400.00
South Carolina,Management,125270,46.48,52.81,109850.00
South Carolina,Business,101200,31.08,35.48,73790.00
South Carolina,CS,48550,39.44,42.19,87740.00
South Dakota,Management,14130,48.27,56.41,117330.00
South Dakota,Business,23610,31.37,35.10,73000.00
South Dakota,CS,9100,35.55,39.33,81810.00
Tennessee,Management,198190,48.61,57.53,119660.00
Tennessee,Business,157050,30.13,33.81,70320.00
Tennessee,CS,78340,37.73,41.05,85390.00
Texas,Management,1012280,48.65,57.47,119540.00
Texas,Business,776520,35.10,38.60,80280.00
Texas,CS,444670,45.46,47.22,98210.00
Utah,Management,127280,45.87,53.44,111160.00
Utah,Business,110720,30.90,35.44,73720.00
Utah,CS,67240,40.99,45.60,94850.00
Vermont,Management,23360,42.28,50.45,104930.00
Vermont,Business,15950,33.00,37.92,78870.00
Vermont,CS,7670,38.66,42.52,88440.00
Virginia,Management,227250,61.90,69.20,143930.00
Virginia,Business,360230,39.29,44.59,92750.00
Virginia,CS,241590,52.84,56.78,118100.00
Washington,Management,180220,63.92,72.73,151270.00
Washington,Business,269180,39.25,44.68,92930.00
Washington,CS,204330,61.64,62.44,129870.00
West Virginia,Management,38930,38.84,47.15,98080.00
West Virginia,Business,28850,29.58,33.37,69410.00
West Virginia,CS,11190,33.33,37.57,78140.00
Wisconsin,Management,122810,51.35,60.10,125010.00
Wisconsin,Business,169420,32.48,36.82,76580.00
Wisconsin,CS,80170,39.50,42.67,88750.00
Wyoming,Management,14820,42.55,48.91,101730.00
Wyoming,Business,11110,31.83,35.51,73870.00
Wyoming,CS,3150,33.36,37.68,78370.00
